Название;Автор(ы);Год;Издательство;Ссылка
ОСОБЕННОСТИ РАЗРАБОТКИ МОДУЛЯ АНАЛИЗА ДАННЫХ ПЛАНИРОВАНИЯ ТРАНСПЛАНТАЦИЙ СТВОЛОВЫХ КЛЕТОК;Штефко Сергей Валерьевич;2021;StudNet;https://cyberleninka.ru/journal/n/studnet
ЧТО ДОЛЖЕН ЗНАТЬ НАЧИНАЮЩИЙ NODE.JS РАЗРАБОТЧИК;Разин Сергей Александрович;2020;E-Scio;https://cyberleninka.ru/journal/n/e-scio
Is non-Western democracy possible? a Russian Perspective. Singapore: world scientific, 2017. 787 p;Voskressenski Alexei D.;2017;Сравнительная политика;https://cyberleninka.ru/journal/n/sravnitelnaya-politika
Технология разработки одностраничного веб-приложения на платформе Angular 8;Сулыз А. В., Панфилов А. Н.;2020;Молодой исследователь Дона;https://cyberleninka.ru/journal/n/molodoy-issledovatel-dona
INFERRING BANK-TO-BANK COMPETITION FROM DYNAMIC TIME SERIES ANALYSIS OF PRICE CORRELATIONS;Ribeiro E.P., Castor K.;2019;Прикладная эконометрика;https://cyberleninka.ru/journal/n/prikladnaya-ekonometrika
WEB-СЕРВИС УЧЕТА ТЕХНОЛОГИЧЕСКИХ ПОКАЗАТЕЛЕЙ ПРОИЗВОДСТВА;Мурашов А.А., Лозинская А.М.;2019;Наука и перспективы;https://cyberleninka.ru/journal/n/nauka-i-perspektivy
Критерии оценивания устного экзамена по английскому языку на уровне В2;Харламенко Инна Владимировна, Нохрина Влада Валерьевна;2018;Вестник Московского университета. Серия 19. Лингвистика и межкультурная коммуникация;https://cyberleninka.ru/journal/n/vestnik-moskovskogo-universiteta-seriya-19-lingvistika-i-mezhkulturnaya-kommunikatsiya
РОЛЬ ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ С ОТКРЫТЫМ ИСХОДНЫМ КОДОМ В СОВРЕМЕННОЙ РАЗРАБОТКЕ КОРПОРАТИВНЫХ ИНФОРМАЦИОННЫХ СИСТЕМ;Шинкарев Александр Андреевич;2021;Вестник Южно-Уральского государственного университета. Серия: Компьютерные технологии, управление, радиоэлектроника;https://cyberleninka.ru/journal/n/vestnik-yuzhno-uralskogo-gosudarstvennogo-universiteta-seriya-kompyuternye-tehnologii-upravlenie-radioelektronika
Выбор технологических решений для разработки программного обеспечения распределенных информационных систем;Ильин Дмитрий Юрьевич, Никульчев Евгений Витальевич, Колясников Павел Владимирович;2018;Современные информационные технологии и ИТ-образование;https://cyberleninka.ru/journal/n/sovremennye-informatsionnye-tehnologii-i-it-obrazovanie
An aggregate examination of the investment behaviour;D. M. Drаghici;2018;Вісник Киiвського нацiонального унiверситету iм. Тараса Шевченка. Серiя: Економiка;https://cyberleninka.ru/journal/n/visnik-kiivskogo-natsionalnogo-universitetu-im-tarasa-shevchenka-seriya-ekonomika
Technical university students’media literacy in social networks;Fiialka S.;2017;Медиаобразование;https://cyberleninka.ru/journal/n/mediaobrazovanie
PHILOSOPHY OF PARAMETRIC DESIGN IN INTERACTIVE ARCHITECTURE FRAMEWORK;Boychenko Kristina;2017;Бюллетень науки и практики;https://cyberleninka.ru/journal/n/byulleten-nauki-i-praktiki
Non-Western theories of international relations: Conceptualizing World-Regional Studies. Shpringer global (Europe-America): Palgrave Macmillan, 2017. 257 p;Voskressesnki Alexei D.;2017;Сравнительная политика;https://cyberleninka.ru/journal/n/sravnitelnaya-politika
Covalent binding antibodies suppress advanced glycation: on the innate Tier of adaptive immunity;Shcheglova T., Makker S. P., Tramontano A.;2009;Acta Naturae (англоязычная версия);https://cyberleninka.ru/journal/n/acta-naturae-angloyazychnaya-versiya
THE IMPACT OF LEARNING BY DEVELOPING CONCEPT (LBD), BLOOMґS TAXONOMY AND LOGISTICS COMPETENCE REQUIREMENTS IN A HIGHER EDUCATION INSTITUTION;Palenius Ari J., Sivén Suvi;2013;Инновации и инвестиции;https://cyberleninka.ru/journal/n/innovatsii-i-investitsii
Reverse deposition of oxides under nanosecond laser ablation of metals: physical mechanisms and applications;V.P. Veiko, J.J. Karlagina, A.A. Samokhvalov, D.S. Polyakov, I.B. Gornushkin;2021;Сборник трудов конференции «International Conference on Advanced Laser Technologies (ALT)»;https://cyberleninka.ru/journal/n/sbornik-trudov-konferentsii-international-conference-on-advanced-laser-technologies-alt
ТЕХНОЛОГИИ ОПТИМИЗАЦИИ РАБОТЫ САЙТА НА ПРИМЕРЕ АНАЛИТИЧЕСКОЙ СИСТЕМЫ ПУБЛИКАЦИОННОЙ АКТИВНОСТИ ПЕНЗЕНСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА;Торопкин Роман Александрович, Зиновьев Ярослав Вячеславович, Рассказов Никита Сергеевич, Митрохин Максим Александрович;2020;Модели, системы, сети в экономике, технике, природе и обществе;https://cyberleninka.ru/journal/n/modeli-sistemy-seti-v-ekonomike-tehnike-prirode-i-obschestve
Построение целостных концепций в средней школе как открытой системе в условиях глобализации;Molitoris Inna;2016;Известия Волгоградского государственного педагогического университета;https://cyberleninka.ru/journal/n/izvestiya-volgogradskogo-gosudarstvennogo-pedagogicheskogo-universiteta
Hierarchy of intelligent systems;Rumyantsev V.V.;2018;Проблемы искусственного интеллекта;https://cyberleninka.ru/journal/n/problemy-iskusstvennogo-intellekta
Практики пересмотра зарплат в российских компаниях;Рожкова Ксения Викторовна, Рощин Сергей Юрьевич, Солнцев Сергей Андреевич;2020;Российский журнал менеджмента;https://cyberleninka.ru/journal/n/rossiyskiy-zhurnal-menedzhmenta
RISK MANAGEMENT OF ALLERGENIC FOOD INGREDIENTS IN HOSPITALITY;Jovanka Popov-Raljić, Milica Aleksić, Vesna Janković, Ivana Blešić, Milan Ivkov;2017;Економика пољопривреде;https://cyberleninka.ru/journal/n/ekonomika-po-oprivrede
Некоторые вопросы к функционированию трансграничного сотрудничества в рамках концепции «Евразия-регион»;Колесов В.И., Кошечкина Е.А.;2015;Экономика образования;https://cyberleninka.ru/journal/n/ekonomika-obrazovaniya-1
Continuous education of third age people and the world wide Web;Krasavtseva Evgeniya I., Shestakova Natalia N.;2014;Образование через всю жизнь: непрерывное образование в интересах устойчивого развития;https://cyberleninka.ru/journal/n/obrazovanie-cherez-vsyu-zhizn-nepreryvnoe-obrazovanie-v-interesah-ustoychivogo-razvitiya
The methodological aspect of the technology-based approach in the process of socializing students;Matnazarova Mekhribon B.;2012;Образование через всю жизнь: непрерывное образование в интересах устойчивого развития;https://cyberleninka.ru/journal/n/obrazovanie-cherez-vsyu-zhizn-nepreryvnoe-obrazovanie-v-interesah-ustoychivogo-razvitiya
Turkmenistan as a Potential Participant in SCO and its Influence on the Situation in Central Asia;A. Klimenko;2012;Russia and the moslem world;https://cyberleninka.ru/journal/n/russia-and-the-moslem-world
The ‘German trail’ in the Migration Policy of Nicolas Sarkozy and François Hollande within the European Union;Gradusova Polina, Chernoperov Vasilii;2018;Historia provinciae – the journal of regional history;https://cyberleninka.ru/journal/n/historia-provinciae-the-journal-of-regional-history
“Германский след” в миграционной политике Н. Саркози и Ф. Олланда на европейском направлении;Градусова Полина Борисовна, Черноперов Василий Львович;2018;Historia provinciae – журнал региональной истории;https://cyberleninka.ru/journal/n/historia-provinciae-zhurnal-regionalnoy-istorii
Выбор веб-стека для реализации цифровой среды предоставления транспортных услуг;Давыдовский Михаил Альбинович;2019;Образовательные ресурсы и технологии;https://cyberleninka.ru/journal/n/obrazovatelnye-resursy-i-tehnologii
Symmetrization of an architectonically plan composition of the city;Panchenko Oksana;2017;European science review;https://cyberleninka.ru/journal/n/european-science-review
Legitimacy for innovation through interacted perception;Schwoon Bennet;2019;Вестник Санкт-Петербургского университета. Социология;https://cyberleninka.ru/journal/n/vestnik-sankt-peterburgskogo-universiteta-sotsiologiya
Kinetic behavior of interactive architecture;Boychenko Kristina Viktorovna;2017;Проблемы современной науки и образования;https://cyberleninka.ru/journal/n/problemy-sovremennoy-nauki-i-obrazovaniya
Citizenship and cultural diversity education in initial and continuing teacher training programs in the UK;Polyakova Yana V.;2010;Образование через всю жизнь: непрерывное образование в интересах устойчивого развития;https://cyberleninka.ru/journal/n/obrazovanie-cherez-vsyu-zhizn-nepreryvnoe-obrazovanie-v-interesah-ustoychivogo-razvitiya
Розробка комплексного захисту даних в серверних приміщеннях від несанкціонованого доступу;Драбик Ярослав Вікторович, Ластівка Галина Іванівна;2015;Технологический аудит и резервы производства;https://cyberleninka.ru/journal/n/tehnologicheskiy-audit-i-rezervy-proizvodstva
IMPACT OF MACROECONOMIC POLICY SHOCKS ON THE ARMENIAN ECONOMY: EVIDENCE FROM VAR ANALYSIS;Grigoryan K., Avagyan G., Karapetyan N., Mkhitaryan L.;2020;Norwegian Journal of Development of the International Science;https://cyberleninka.ru/journal/n/norwegian-journal-of-development-of-the-international-science
Корпорации разных культур: каким образом национальные культурные предпочтения проявляют себя в организационных культурах?;Самели Эва;2020;Вестник Удмуртского университета. Социология. Политология. Международные отношения;https://cyberleninka.ru/journal/n/vestnik-udmurtskogo-universiteta-sotsiologiya-politologiya-mezhdunarodnye-otnosheniya
Method of finding equilibrium solutions for duopoly of supply chains taking into account the innovation activity of enterprises;Kurudzhi Yulia, Moskvichenko Iryna, Postan Mykhaylo;2017;Восточно-Европейский журнал передовых технологий;https://cyberleninka.ru/journal/n/vostochno-evropeyskiy-zhurnal-peredovyh-tehnologiy
Social partnership in system of vocational training;Lomakina Tatyana Yurievna, I. A. Ivanov;2007;Образование через всю жизнь: непрерывное образование в интересах устойчивого развития;https://cyberleninka.ru/journal/n/obrazovanie-cherez-vsyu-zhizn-nepreryvnoe-obrazovanie-v-interesah-ustoychivogo-razvitiya
Microfiniancing in Azerbaijan: social and legal aspects in development;Hanahmedov Neriman, Aliyev Yusif, Akbulaev Nurhodja;2016;Проблемы современной науки и образования;https://cyberleninka.ru/journal/n/problemy-sovremennoy-nauki-i-obrazovaniya
ВЕБ-ПЛАТФОРМА ДЛЯ ФОЛЬКЛОРНЫХ ИССЛЕДОВАНИЙ НА ОСНОВЕ ОНТОЛОГИИ ПРЕДМЕТНЫХ ОБЛАСТЕЙ;Лисин В. А., Сидорова Е. А.;2021;Вестник Новосибирского государственного университета. Серия: Информационные технологии;https://cyberleninka.ru/journal/n/vestnik-novosibirskogo-gosudarstvennogo-universiteta-seriya-informatsionnye-tehnologii
Contradictions of the world system in the nearest future an interview with piotr Dutkiewicz, professor of political science at Carleton University (Ottawa, Canada);Dutkiewicz Piotr, Arusyak Hovanesyan Levonovna;2018;Вестник Российского университета дружбы народов. Серия: Политология;https://cyberleninka.ru/journal/n/vestnik-rossiyskogo-universiteta-druzhby-narodov-seriya-politologiya
